00029633964d0302947d0e893b563ca998ce3edbc045270c63e2a6ab723c1051, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2014
00002d7a3ed6d05c0ce5f0e6babbedcf95ea37b1ea9be874057c3f2f7db9236c, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2018
00054f5e6bfbad677caf5f2df60c43bbfcee2b6eabc7e00fdc17bb7266e6a769, Virus, Win32, Nimnul, Virus.Win32.Nimnul.e, 2014
000c87c51055249f9c11db6f799447564a8f29060229ec79dfa9f55b57340953, AdWare, Win32, Agent, UDS:AdWare.Win32.Agent, 2018
000b1914bc5777440ecaa6a988cfde1671411c2447b68375dde39e4609f146b7, Trojan-Downloader, HTML, JScript, Trojan-Downloader.HTML.JScript.dr, 2019
00040f05cdae9b0d57e3952470a22c66949b3143a91a34d5de1e5b95cd027a87, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2013
0009d95ded23de294c1921aadd6c269687e4761f89d8243909bbd85ee1f1c39c, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2014
000f520854c579b59277eedc3e9757b75b3247345bbd9803bf1a9e9135773751, Trojan, Win32, Yakes, Trojan.Win32.Yakes.kzbk, 2018
000e67f74206f45657dd9b2953d32ce3ede7b7026a620f2c6c0c4f45b648e896, AdWare, MSIL, DomaIQ, not-a-virus:AdWare.MSIL.DomaIQ.clek, 2014
000b1329dc2ff2dba998a440ba25cf55b6117fd3cf1fc95a48678c33e75d9bfc, Trojan, BAT, Qhost, Trojan.BAT.Qhost.tn, 2014
000e2a1f3dcf5dfceddb2bd05c397ba7903e188d420a9491dab6dbc188884366, AdWare, Win32, MultiPlug, not-a-virus:AdWare.Win32.MultiPlug.ofod, 2013
00039b67fe3ed9f40d308472233de3af750204f54720f05f1ae7f2cec9b76470, AdWare, Win32, DLBoost, HEUR:AdWare.Win32.DLBoost.gen, 2018
0002c2abb4202e54cfebcea73be2d72ae4184d4f8252307ea143195e2bec921f, AdWare, Win32, Fiseria, not-a-virus:AdWare.Win32.Fiseria.hv, 2015
0003230a50982d795ee254f4e0f89d8b16314e03b9f931c355f9943f5e9df7ef, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2019
000ea94f251bb095e21310849bc5793a1f03268401c1fdc98cadeb74bbe8ec97, Trojan-Downloader, JS, Agent, Trojan-Downloader.JS.Agent.hbs, 2018
000c260a643805affd26652ca77159959d052cd42b0a86b3fe0906dc466cced5, Worm, Win32, AutoRun, Worm.Win32.AutoRun.buei, 2013
0000f8e2ada41936d673dc4518417a2ec3a48c22dad830d200b85592a2b2f341, Trojan, Win32, Refroso, Trojan.Win32.Refroso.gefl, 2016
000d8711b9ff8646dac5e623f19ef5089d16317bb27d853409335ca2eaba2988, Trojan, JS, Iframe, Trojan.JS.Iframe.afp, 2019
0004b6adafff9023c3b243789fd897a36e677884f23d30b9acf2a2bd9e04029d, AdWare, Script, Generic, HEUR:AdWare.Script.Generic, 2013
0001d393d40167b37a646a522dd85461629ef3b8d00a77e0f9e714113b6ad378, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2013
0002d07f78c42af9cf962faa6c90afddc110730cb2514c3c7be30f181e0993de, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2010
0009a80baea922642b6b76d67568cdc22d8c8c4be426bbc13b6a5e78548dcaf8, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2018
000079f23f2adcca4320f66198db25a0cbf1cfa1700615405553f7ffa2bf14ef, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2018
000c323af5499a9ecfa1652def1ec13d7d037dea5b639323c93e95b2d0d1913c, AdWare, Win32, InstallCore, HEUR:AdWare.Win32.InstallCore.gen, 2019
0006dad8a265704bceca5594839d59db2782d074ad145cb3d4f8fcc7559be1e7, Trojan, Win32, Cossta, Trojan.Win32.Cossta.hhy, 2017
00044f284939068bad557a548c46399fa2a43bdc3c7a0762d5b4b6c8f039f4f2, AdWare, Win32, Generic, HEUR:AdWare.Win32.Generic, 2014
000dcf720913e099fbcf67c37690d3bc15ffae1c6bd18e22a2c796a15812970c, Trojan-Downloader, JS, Iframe, Trojan-Downloader.JS.Iframe.deu, 2013
0001bbeb2f827dd09fb383c15398ed029358a6819c1f1f64c70e9a4b20311855, Net-Worm, Win32, Allaple, Net-Worm.Win32.Allaple.e, 2014
00073c0a51f91029fe074cad43eeeaa409de27491dc36705320e7f8104cca408, Virus, Win32, Hidrag, Virus.Win32.Hidrag.a, 2014
000930c8b7503050ea4c250effe57849e066141249f435fac7092ca7357f3acf, AdWare, Win32, MultiPlug, HEUR:AdWare.Win32.MultiPlug.heur, 2018
0004922d774acf44da62cb75b723413843e841e607de2332d69f381ccccd1091, ZaxarSetup, 4, 001, ZaxarSetup.4.001.430.exe, 2018
000f73fd45ec81e095ad9e6e34c2b8be4273f21bf33f0ca2e7f38c4ac1609ce3, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2020
0000f2e4254c44349dc317de3ca858930ed8a4951e3256679a0d47d6de268963, Virus, MSWord, Myna-based, Virus.MSWord.Myna-based, 2016
000bf8899b47b0bc77683fd90c888b03c304610b8f46eccaf0db3e37b7886d56, Trojan, Win32, Delf, Trojan.Win32.Delf.gen, 2014
000ce976d3da30672196a334bcd1fcac38ffdeb5f7b6bc8e9923d96f69dae9ab, Trojan, HTML, Agent, Trojan.HTML.Agent.pb, 2019
00046f3a13b1f396e7f3bd2ba2fa925d302f0703dbde392a50f049021f424575, RiskTool, Win32, WFPDisabler, not-a-virus:RiskTool.Win32.WFPDisabler.a, 2009
000335a2556aed5c19f5513be9f733c1e1c20f4036721c27bce1ca5362593d0b, AdWare, Win32, LMN, not-a-virus:AdWare.Win32.LMN.apm, 2013
000d24182ac7535c4cc50db4587b945442f1f8de13c701f5c98b467f94d77383, AdWare, Win32, Generic, UDS:AdWare.Win32.Generic, 2017
00013ecef1407a0e48c874bd3bba163a918a4ba1cf8527819d95d45bf5903c61, Exploit, JS, Pdfka, UDS:Exploit.JS.Pdfka.fmg, 2016
